order_id,customer_id,product_id,payment_id,date_id,quantity,revenue
1248,702,107,2,69,1,480.00
2631,555,108,1,14,4,2700.00
1103,632,109,1,138,3,2340.00
605,590,110,2,344,3,3000.00
2688,713,111,5,90,3,640.00
1534,769,112,2,85,1,2200.00
2338,398,113,4,19,2,2580.00
44,911,114,3,294,2,1160.00
2808,418,115,2,54,4,400.00
1147,881,116,2,234,2,1300.00
2328,248,117,5,298,2,1410.00
517,154,118,2,292,1,5280.00
896,80,119,3,104,4,1440.00
2084,423,120,1,320,2,6000.00
1069,236,121,1,306,4,1320.00
839,90,122,4,286,1,280.00
2960,801,123,1,297,4,160.00
1194,267,124,1,324,1,3400.00
162,11,125,5,155,2,1800.00
1170,119,126,3,280,3,880.00
2149,153,127,4,227,2,480.00
1090,533,128,3,98,3,3800.00
1723,16,129,2,265,3,1710.00
1132,60,130,1,237,3,2400.00
1783,681,131,4,25,2,320.00
929,118,132,4,344,3,8400.00
43,542,133,4,254,2,1380.00
414,745,134,2,110,3,3040.00
705,193,135,2,257,3,1200.00
2350,113,136,2,264,4,6900.00
2022,204,137,5,139,4,1620.00
623,885,138,4,125,2,1840.00
1754,425,139,2,211,4,480.00
972,237,140,2,124,1,5000.00
1046,818,141,1,273,3,3720.00
923,49,142,2,168,2,2160.00
894,726,143,4,178,1,480.00
2334,810,144,4,49,3,5400.00
2041,638,145,1,297,3,3150.00
2074,305,146,3,125,2,3720.00
1628,562,147,1,77,3,960.00
487,988,148,3,110,1,11600.00
1725,480,149,4,335,3,1170.00
2064,212,150,5,120,3,400.00
1917,221,1,1,96,4,1320.00
1799,88,2,4,338,3,1120.00
2300,494,3,1,132,2,320.00
177,131,4,3,365,3,2800.00
842,32,5,2,177,2,1800.00
265,743,6,3,3,3,880.00
621,657,7,4,127,3,720.00
496,788,8,3,312,4,900.00
2206,356,9,3,292,2,2280.00
2864,916,10,4,299,4,1200.00
1690,976,11,1,2,2,640.00
523,929,12,1,298,3,1100.00
1432,15,13,4,62,4,690.00
1885,916,14,4,258,2,760.00
1531,20,15,3,280,1,800.00
1462,301,16,1,109,2,5200.00
1909,337,17,4,314,4,1620.00
1824,115,18,4,147,4,2760.00
2278,967,19,3,322,3,480.00
2714,462,20,3,215,1,1500.00
1777,927,21,5,184,4,930.00
931,858,22,2,80,1,2160.00
2856,572,23,1,108,2,320.00
2644,35,24,3,200,1,1700.00
2611,179,25,2,319,3,4200.00
1048,800,26,5,128,4,2480.00
1818,642,27,2,6,4,720.00
2543,687,28,5,146,2,3800.00
2843,604,29,1,23,4,3510.00
1045,520,30,3,73,2,200.00
1666,426,31,3,9,3,960.00
2766,724,32,5,36,4,4200.00
2729,536,33,5,49,4,3870.00
361,446,34,5,365,2,1440.00
1900,283,35,3,259,1,1600.00
1803,225,36,2,337,3,4600.00
1398,881,37,1,144,4,4230.00
2312,301,38,1,21,3,1040.00
2072,367,39,4,262,2,960.00
1879,234,40,2,276,4,5000.00
1642,981,41,2,135,1,330.00
2266,218,42,5,166,4,2040.00
2584,345,43,1,245,4,480.00
773,473,44,3,193,4,10800.00
522,605,45,3,250,4,1350.00
124,521,46,3,303,3,840.00
754,22,47,2,255,2,240.00
21,856,48,2,259,4,11600.00
1669,440,49,3,122,1,1140.00
1594,615,50,3,199,2,4000.00
379,242,51,5,157,3,1280.00
2799,729,52,5,14,3,600.00
2596,826,53,3,67,2,690.00
667,9,54,2,312,1,1160.00
909,79,55,3,65,2,1200.00
2679,549,56,1,249,1,800.00
1174,944,57,3,326,4,1620.00
2199,344,58,3,207,2,3960.00
1616,676,59,4,284,3,1440.00
1886,78,60,3,105,4,3000.00
2850,524,61,4,97,1,1860.00
1695,842,62,3,13,3,280.00
1358,50,63,5,108,4,160.00
1156,438,64,1,310,1,1200.00
1593,69,65,4,202,3,4200.00
2668,798,66,2,77,1,1760.00
1989,970,67,5,145,2,960.00
2212,335,68,3,111,1,4200.00
859,229,69,2,269,4,4680.00
589,171,70,2,295,1,2400.00
756,871,71,3,137,1,320.00
45,334,72,4,44,3,3200.00
562,117,73,1,274,3,1290.00
2519,661,74,4,346,2,760.00
460,590,75,3,243,4,800.00
129,234,76,1,177,2,1800.00
1458,187,77,3,301,3,5640.00
2070,607,78,5,360,1,1840.00
614,220,79,3,275,2,960.00
1744,997,80,2,74,2,8000.00
1128,332,81,3,238,3,660.00
2514,93,82,5,173,3,1080.00
869,942,83,5,136,2,480.00
2472,421,84,4,328,3,4400.00
1719,55,85,3,220,2,1800.00
1965,454,86,2,54,4,3720.00
423,518,87,1,100,4,720.00
39,495,88,3,247,1,4800.00
2314,637,89,5,159,3,1140.00
2456,595,90,3,290,2,600.00
1193,788,91,4,132,3,1280.00
383,336,92,2,170,2,10400.00
2303,380,93,3,304,2,1380.00
2317,724,94,2,123,4,1440.00
2949,333,95,4,209,3,1600.00
482,220,96,4,152,1,11200.00
2915,48,97,2,174,2,2430.00
2391,176,98,3,332,1,1560.00
207,366,99,4,4,1,1920.00
2988,243,100,2,142,2,500.00
212,831,101,5,74,1,1860.00
746,143,102,5,152,1,2040.00
1361,495,103,1,31,1,160.00
1548,125,104,1,363,3,2100.00
1400,115,105,1,193,1,1050.00
2012,338,106,4,138,4,840.00
326,142,107,2,180,2,240.00
1203,809,108,5,286,2,2700.00
2368,176,109,3,6,3,3510.00
2867,607,110,1,4,3,3000.00
2780,490,111,4,318,2,320.00
1522,215,112,3,42,4,1100.00
1397,598,113,3,58,1,3870.00
370,701,114,1,209,2,3480.00
808,782,115,1,58,2,1600.00
886,628,116,2,139,1,3900.00
1190,293,117,2,174,3,2820.00
1129,632,118,1,91,1,1320.00
2257,625,119,5,167,3,480.00
657,931,120,5,67,4,1500.00
1671,592,121,2,244,2,660.00
1197,902,122,2,314,2,280.00
2970,310,123,3,356,1,480.00
427,601,124,3,31,3,1700.00
2564,724,125,1,40,2,1350.00
1936,562,126,5,244,3,1320.00
135,282,127,2,194,4,720.00
795,674,128,3,311,3,1900.00
2883,469,129,3,324,1,1710.00
2576,485,130,5,285,2,1200.00
682,751,131,1,39,2,320.00
763,560,132,1,184,2,4200.00
759,795,133,2,250,4,2760.00
2857,181,134,1,250,2,1520.00
160,118,135,3,284,3,1200.00
2355,753,136,3,289,3,4600.00
307,744,137,3,301,4,3240.00
1,220,138,1,300,4,2760.00
2231,793,139,4,104,1,960.00
1883,361,140,5,194,4,10000.00
1424,898,141,1,234,4,930.00
927,368,142,5,163,3,1080.00
1000,165,143,5,224,3,160.00
2960,463,144,2,141,4,2700.00
458,323,145,1,294,3,2100.00
392,578,146,3,275,2,1240.00
1996,41,147,2,331,4,960.00
1323,702,148,1,302,3,5800.00
231,320,149,2,323,2,4680.00
1783,255,150,3,254,4,800.00
1333,567,1,3,292,2,330.00
2455,919,2,1,339,1,560.00
582,835,3,3,164,2,640.00
1635,759,4,1,185,1,2800.00
2424,640,5,4,351,2,900.00
2948,474,6,3,249,1,1320.00
2584,340,7,1,198,2,240.00
195,616,8,5,208,1,1800.00
2124,769,9,4,103,2,1140.00
918,295,10,3,326,4,1200.00
319,637,11,5,152,2,320.00
704,778,12,1,217,2,2200.00
443,908,13,1,280,3,1380.00
581,898,14,5,308,2,3040.00
764,428,15,2,215,4,800.00
356,655,16,5,224,2,5200.00
2539,948,17,1,57,1,1620.00
1282,975,18,3,11,2,3680.00
2418,671,19,5,246,3,1440.00
215,119,20,2,200,3,3000.00
2185,747,21,3,188,4,930.00
1008,640,22,1,9,3,3240.00
2691,343,23,1,31,2,480.00
1389,806,24,4,285,4,5100.00
2285,197,25,4,327,2,1050.00
73,415,26,1,281,4,4960.00
2517,589,27,3,130,2,480.00
1941,951,28,5,76,3,3800.00
271,318,29,2,229,1,1170.00
2170,445,30,1,340,2,600.00
2961,846,31,2,294,1,960.00
2029,387,32,5,136,1,6300.00
1532,793,33,3,286,3,3870.00
2360,755,34,3,291,3,720.00
1426,348,35,2,186,3,1200.00
2764,944,36,5,342,4,4600.00
2871,939,37,5,107,4,1410.00
1717,522,38,5,323,3,520.00
571,693,39,5,137,1,1920.00
2325,251,40,5,323,3,7500.00
2252,157,41,3,70,2,330.00
97,495,42,2,146,4,680.00
187,916,43,2,74,4,480.00
1184,230,44,5,48,4,5400.00
2571,993,45,2,362,4,1800.00
438,51,46,5,335,1,3360.00
1128,999,47,5,122,1,480.00
1487,459,48,5,237,4,2900.00
1058,275,49,2,275,4,2280.00
2129,50,50,1,160,4,4000.00
2575,669,51,4,304,4,1280.00
985,306,52,3,294,2,1800.00
1159,410,53,5,76,2,1380.00
489,40,54,4,155,4,3480.00
1586,535,55,1,302,4,1600.00
2597,633,56,3,341,4,800.00
455,738,57,2,352,1,2430.00
2544,346,58,1,318,4,2640.00
2404,663,59,5,206,1,1440.00
1124,701,60,2,287,4,3000.00
1726,113,61,5,310,3,930.00
1162,585,62,4,20,4,1120.00
2588,23,63,3,203,1,320.00
428,662,64,5,152,2,4800.00
1282,289,65,1,347,2,2100.00
1077,523,66,3,38,4,880.00
1652,978,67,2,93,3,240.00
1513,410,68,3,166,3,5600.00
1742,179,69,1,82,3,3510.00
480,917,70,1,278,2,600.00
1367,717,71,2,339,4,320.00
2740,33,72,3,7,4,1600.00
2585,107,73,5,151,1,5160.00
1915,615,74,1,346,2,1520.00
1606,285,75,5,87,3,1600.00
1582,804,76,3,284,3,5400.00
2452,577,77,3,157,4,5640.00
450,940,78,2,158,2,2760.00
1390,108,79,1,149,3,1920.00
418,328,80,2,46,4,4000.00
948,255,81,2,318,2,330.00
55,421,82,1,356,3,3240.00
